id,broker,effective_date,field,impact,headline,fee_before,fee_after,source_url
etoro-risk-warning-51pct-2026-09,etoro,2026-09-16,disclosure,neutral,eToro raises its published retail CFD loss figure to 51%,50% of retail CFD accounts lose money,51% of retail investor accounts lose money when trading CFDs with this provider,https://www.etoro.com/trading/fees/
freetrade-mutual-funds-free-2026-01,freetrade,2026-01-22,platform,decrease,"Freetrade makes SIPPs, mutual funds and gilts free on every plan, Basic included","Mutual funds not offered; SIPP, gilts and ready-made portfolios not included in the free Basic plan","1,000+ mutual funds, the SIPP, gilts and ready-made portfolios included in the free Basic plan with no dealing commission and no funds holding fee",https://freetrade.io/invest-for-less
plus500-risk-warning-76pct-2026-09,plus500,2026-09-08,disclosure,neutral,Plus500 cuts its published retail loss figure to 76%,81% of retail investor accounts lose money,76% of retail investor accounts lose money,https://www.plus500.com/en-gb/help/feescharges
scalable-capital-gettex-2026-09,scalable-capital,2026-09-01,commission,increase,Scalable Capital doubles its gettex order fee to €1.99,"€0.99 per gettex order on the FREE Broker, and €0 on buys of €250 or more (PRIME ETFs on FREE, all orders on PRIME+)","€1.99 per gettex order, on both the FREE Broker and PRIME+ Broker plans",https://de.scalable.capital/en/trading
scalable-capital-xetra-2026-09,scalable-capital,2026-09-01,commission,decrease,Scalable Capital halves its Xetra order fee to €1.99 and waives trading-venue fees,"€3.99 plus 0.01% (minimum €1.50) per Xetra order, plus trading-venue fees","€1.99 flat per Xetra order, with trading-venue fees waived",https://de.scalable.capital/en/trading
trade-republic-direct-price-2026-07,trade-republic,2026-07-01,commission,increase,"Trade Republic adds a €2 ""Direct Price"" order option",€1 flat per order (Best Price execution only),"€1 Best Price, or €2 per order to route directly to a chosen exchange",https://curvo.eu/article/trade-republic-costs
plus500-risk-warning-81pct-2026-08,plus500,2026-08-03,disclosure,neutral,Plus500 raises its published retail loss figure to 81%,80% of retail investor accounts lose money,81% of retail investor accounts lose money,https://www.plus500.com/
lightyear-uk-fx-0-10-2026,lightyear,2026-01-01,fx,decrease,Lightyear cuts its UK currency-conversion fee to 0.10%,0.35% FX fee on UK accounts,0.10% FX fee on UK GIA and ISA accounts,https://lightyear.com/en-gb/pricing
etoro-inactivity-removed-2026,etoro,2026-01-01,inactivity,decrease,eToro scraps its monthly inactivity fee,$10/month after 12 months of inactivity,No inactivity fee,https://www.etoro.com/trading/fees/
